id,name,birthday,mobile_phone,temporarily_number,password,address,detail_address,job_id,session_limit,session_key,pw_checked,state,course_code,groups_id
non.enim.Mauris@naver.com,윤고원,900130,01012348034,024911816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-21 11:40:37",none,0,훈련중,7,9
Nullam@naver.com,박종현,811108,01009676806,01051962920,4209,Thalassery,"7230 Eu Avenue",4,"2019-10-28 19:16:26",none,0,중도하차,10,NULL
Nunc.ac@naver.com,공영민,751109,01054935133,029956696,0531,Alessandria,"Ap #451-5909 Nibh Rd.",4,"2019-11-21 11:40:37",none,0,훈련중,7,9
odio.a@naver.com,송윤진,901228,01028738034,024911816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-21 11:40:37",none,0,훈련중,7,9
odio.Nam.interdum@naver.com,채원조,950106,01007342338,022426096,011436,Trier,"8194 Et, Av. 3409",4,"2019-11-20 12:24:03",none,0,훈련중,7,NULL
pede@luctusetultrices.edu,신서현,830315,01016526832,023266495,0080,Dworp,"P.O. Box 240, 347 Magna. Ave",4,"2019-11-20 10:39:37",none,0,훈련중,6,NULL
purus@placerat.edu,조상훈,860524,01034265655,023041900,6752,Vlimmeren,"522-9845 Ullamcorper Ave",4,"2019-11-20 10:39:37",none,0,훈련중,6,NULL
seulbee@gmail.com,김슬비,931118,01012931118,NULL,1111,천안시,우리집,4,"2019-11-21 09:18:32",none,0,훈련종료,3,4
shintaein789@naver.com,신태인,960703,01047561234,NULL,1111,Montgomery,Ap#12345,4,"2019-11-21 09:18:32",none,0,훈련종료,3,4
sit.amet.risus@naver.com,석민재,870920,01080522393,029864725,2902,Sint-Pauwel,"5574 Eget A 7643",4,"2019-11-21 11:40:37",none,0,훈련중,7,9
sit.amet@gmail.com,지하늘,780905,01048639347,026718327,3661,Sint-Gillis-Waas,"Ap #268-5222 Non, Avenue",4,"2019-11-20 12:38:54",none,0,훈련중,7,8
skyda1204@gmail.com,허다영,921204,01040158986,,daaa00f588bcd2080b0e953a7e72e6ac18955c96cc9a6c1814eaa1396f17025d,"서울시 강남구 헌릉로 ","105동 601호",4,"2019-11-20 11:29:50",none,1,훈련중,7,5
sollicitudin.adipiscing@naver.com,송윤진,010301,01009468034,024911816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:54",none,0,훈련중,7,8
sooyeonShim@gmail.com,심수연,930101,01074073457,NULL,1111,서울시,어딘가,4,"2019-11-20 11:29:50",none,0,훈련중,7,5
suscipit@naver.com,함소민,810615,01053079913,01035857388,870986,"Nova Iguaçu","585-2738 In, Avenue 4625",4,"2019-10-28 19:16:12",none,0,훈련중,5,NULL
taewonkim123@naver.com,김태원,930809,01074561314,NULL,1111,Montgomery,Ap#12345,4,"2019-11-20 12:28:59",none,0,훈련종료,3,NULL
tellus.imperdiet@naver.com,예주연,860522,01052247312,01041638339,0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c,Thalassery,"243-3977 Facilisis Road",4,"2019-11-20 10:39:37",none,1,훈련중,6,NULL
turpisv@naver.com,문수지,980114,01083639678,0103199-2388,518246,Galashiels,"7327 Convallis Rd. 7643",4,"2019-10-28 19:16:12",none,0,훈련중,5,NULL
ultricies@naver.com,이정현,780727,01053007805,01050320797,0468,Rotterdam,"Ap #412-1173 Luctus Rd",4,"2019-11-20 10:39:37",none,0,훈련중,6,NULL
vulputate.dui@naver.com,홍지혜,880119,01088243558,01045691382,6736,Jonesboro,"447-3832 Libero. St.",4,"2019-11-20 10:39:37",none,0,중도하차,6,NULL
wjdgns@gmail.com,강정훈,000516,01005160516,NULL,1111,서울특별시,우리집,4,"2019-11-21 09:14:27",none,0,훈련종료,3,8
ysh316497@naver.com,류승호,910809,01012345678,01034469228,0ffe1abd1a08215353c233d6e009613e95eec4253832a761af28ff37ac5a150c,"충청남도 천안시 동남구 청수4로 11",한양수자인아파트,4,"2019-11-21 11:34:15",EFD52FCDEF3E74E63A10D566FD956747,1,훈련중,7,5
yujin@naver.com,조유진,850808,01078941236,NULL,1111,Montgomery,Ap#12345,4,"2019-11-20 12:26:19",none,0,훈련종료,3,NULL
yuminjojojo@naver.com,조유민,850808,01078941236,NULL,1111,Montgomery,Ap#12345,4,"2019-11-20 12:29:27",none,0,훈련종료,3,NULL
yunhwan@naver.com,박윤환,000405,01078941236,NULL,1111,Montgomery,Ap#12345,4,"2019-11-20 12:28:59",none,0,훈련종료,3,NULL
yunhyukim@naver.com,임윤혁,941228,01099991111,02-491-1816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:54",none,0,훈련중,7,8
yuyun344@naver.com,송유윤,910303,01009463212,02-491-1816,877884,"Swan Hills","9443 Quam St. 6493",4,"2019-11-20 12:38:54",none,0,훈련중,7,8
